x,y
5.8122,0.6458
5.8120,0.6277
5.8117,0.6097
5.8114,0.6713
5.8111,0.7328
5.8109,0.6882
5.8106,0.6436
5.8103,0.6805
5.8100,0.7174
5.8098,0.7088
5.8095,0.7002
5.8092,0.7277
5.8089,0.7551
5.8087,0.7826
5.8084,0.8100
5.8081,0.8648
5.8078,0.9196
5.8076,0.8833
5.8073,0.8470
5.8070,0.7851
5.8067,0.7232
5.8065,0.7524
5.8062,0.7816
5.8059,0.7619
5.8056,0.7422
5.8054,0.6770
5.8051,0.6118
5.8048,0.5580
5.8045,0.5041
5.8043,0.4958
5.8040,0.4875
5.8037,0.4214
5.8034,0.3553
5.8032,0.3803
5.8029,0.4052
5.8026,0.3932
5.8023,0.3812
5.8021,0.4602
5.8018,0.5392
5.8015,0.6054
5.8012,0.6717
5.8010,0.6468
5.8007,0.6220
5.8004,0.6256
5.8001,0.6292
5.7999,0.7239
5.7996,0.8186
5.7993,0.8804
5.7990,0.9423
5.7988,1.0042
5.7985,1.0660
5.7982,1.1563
5.7979,1.2467
5.7977,1.3370
5.7974,1.4273
5.7971,1.4477
5.7968,1.4680
5.7966,1.4884
5.7963,1.5088
5.7960,1.4295
5.7957,1.3503
5.7955,1.4228
5.7952,1.4954
5.7949,1.4743
5.7946,1.4531
5.7944,1.3865
5.7941,1.3199
5.7938,1.3206
5.7935,1.3213
5.7933,1.3220
5.7930,1.3227
5.7927,1.3787
5.7924,1.4347
5.7922,1.3996
5.7919,1.3645
5.7916,1.3578
5.7913,1.3512
5.7911,1.3445
5.7908,1.3379
5.7905,1.3308
5.7902,1.3237
5.7900,1.3166
5.7897,1.3094
5.7894,1.3023
5.7891,1.2952
5.7889,1.2881
5.7886,1.2810
5.7883,1.2800
5.7880,1.2791
5.7878,1.2781
5.7875,1.2772
5.7872,1.2762
5.7869,1.2753
5.7867,1.2743
5.7864,1.2734
5.7861,1.2080
5.7858,1.1427
5.7856,1.0773
5.7853,1.0120
5.7850,0.9883
5.7847,0.9647
5.7845,1.0321
5.7842,1.0996
5.7839,1.2159
5.7836,1.3321
5.7834,1.3574
5.7831,1.3826
5.7828,1.4609
5.7825,1.5393
5.7823,1.7087
5.7820,1.8781
5.7817,2.1163
5.7814,2.3545
5.7812,2.6420
5.7809,3.1117
5.7806,3.6449
5.7803,4.1781
5.7801,4.8327
5.7798,5.6694
5.7795,6.6295
5.7792,7.5895
5.7790,8.4888
5.7787,9.3882
5.7784,10.1044
5.7781,10.3958
5.7779,10.3304
5.7776,10.0830
5.7773,9.8147
5.7770,9.5463
5.7768,9.2666
5.7765,8.9869
5.7762,8.8021
5.7759,8.6172
5.7757,8.4324
5.7754,8.2475
5.7751,8.1509
5.7748,8.0543
5.7746,7.8666
5.7743,7.6789
5.7740,7.3982
5.7737,7.1176
5.7735,6.8369
5.7732,6.5563
5.7729,6.4180
5.7726,6.2797
5.7724,6.1415
5.7721,6.0032
5.7718,5.9787
5.7715,5.9543
5.7713,5.9298
5.7710,5.9054
5.7707,5.9663
5.7704,6.0272
5.7702,6.0881
5.7699,6.1490
5.7696,6.2659
5.7693,6.3828
5.7691,6.4997
5.7688,6.6165
5.7685,6.7885
5.7682,6.9606
5.7680,7.1781
5.7677,7.3956
5.7674,7.5591
5.7671,7.7226
5.7669,7.9771
5.7666,8.2317
5.7663,8.4606
5.7660,8.6895
5.7658,8.9184
5.7655,9.1474
5.7652,9.3289
5.7649,9.5103
5.7647,9.5515
5.7644,9.5926
5.7641,9.5822
5.7638,9.7539
5.7636,9.9142
5.7633,10.0746
5.7630,10.4360
5.7627,10.7974
5.7625,11.3106
5.7622,11.8238
5.7619,12.4906
5.7616,13.1575
5.7614,14.0027
5.7611,14.8478
5.7608,15.9207
5.7605,17.4185
5.7603,19.2311
5.7600,21.2260
5.7597,23.5210
5.7594,26.1195
5.7592,28.9097
5.7589,32.0034
5.7586,35.3475
5.7583,38.7827
5.7581,42.2918
5.7578,45.8920
5.7575,49.3889
5.7572,52.9768
5.7570,56.9896
5.7567,61.6702
5.7564,67.3581
5.7561,74.4423
5.7559,83.1353
5.7556,94.0744
5.7553,107.9331
5.7550,125.7378
5.7548,149.2793
5.7545,180.8948
5.7542,223.6195
5.7539,280.9746
5.7537,356.3291
5.7534,450.9277
5.7531,562.1580
5.7528,682.6764
5.7526,802.3069
5.7523,912.7708
5.7520,1011.1578
5.7517,1097.1000
5.7515,1168.5258
5.7512,1221.6787
5.7509,1255.0684
5.7506,1272.1278
5.7504,1279.4060
5.7501,1284.8022
5.7498,1294.0989
5.7495,1307.7057
5.7493,1321.0242
5.7490,1327.9684
5.7487,1325.0801
5.7484,1313.9965
5.7482,1301.1598
5.7479,1292.3905
5.7476,1286.8652
5.7473,1276.4229
5.7471,1250.4015
5.7468,1201.3723
5.7465,1127.8704
5.7462,1034.8816
5.7460,930.0246
5.7457,818.0650
5.7454,700.6798
5.7451,581.6554
5.7449,469.2026
5.7446,371.8657
5.7443,293.8401
5.7440,234.2086
5.7438,189.6248
5.7435,156.2717
5.7432,131.1937
5.7429,112.2470
5.7427,97.6864
5.7424,86.3433
5.7421,77.3479
5.7418,70.1130
5.7416,64.3047
5.7413,59.5284
5.7410,55.6210
5.7407,52.2599
5.7405,49.3086
5.7402,46.7822
5.7399,44.5194
5.7396,42.4386
5.7394,40.4773
5.7391,38.6071
5.7388,37.1145
5.7385,36.1681
5.7383,35.7530
5.7380,35.8842
5.7377,36.4213
5.7374,37.2316
5.7372,38.1348
5.7369,39.0380
5.7366,39.9336
5.7363,40.8293
5.7361,41.6073
5.7358,42.1728
5.7355,42.2643
5.7352,41.9612
5.7350,41.5955
5.7347,41.4423
5.7344,41.5528
5.7341,41.6633
